ds,y,abertura,max,min,volume,variacao
2023-08-24,117.026,118.135,118.136,116.848,9.2,-0.94
2023-08-23,118.135,116.16,118.135,116.159,11.54,1.7
2023-08-22,116.156,114.433,116.286,114.433,9.83,1.51
2023-08-21,114.429,115.404,115.425,114.067,9.79,-0.85
2023-08-18,115.409,114.973,115.729,114.423,10.6,0.37
2023-08-17,114.982,115.592,116.61,114.859,12.75,-0.53
2023-08-16,115.592,116.171,117.338,115.534,18.86,-0.5
2023-08-15,116.171,116.809,117.697,116.033,14.64,-0.55
2023-08-14,116.81,118.067,118.082,116.53,11.2,-1.06
2023-08-11,118.065,118.35,119.054,117.415,11.87,-0.24
2023-08-10,118.35,118.412,119.438,118.113,12.69,-0.05
2023-08-09,118.409,119.09,119.09,117.901,11.25,-0.57
2023-08-08,119.09,119.378,119.553,117.492,10.25,-0.24
2023-08-07,119.38,119.509,120.104,118.894,8.73,-0.11
2023-08-04,119.508,120.586,121.442,119.215,15.07,-0.89
2023-08-03,120.586,120.859,122.619,120.365,13.03,-0.23
2023-08-02,120.859,121.249,121.252,119.798,10.57,-0.32
2023-08-01,121.248,121.945,121.945,120.154,10.3,-0.57
2023-07-31,121.943,120.188,122.149,120.188,10.12,1.46
2023-07-28,120.187,120.002,120.66,119.706,8.46,0.16
2023-07-27,119.99,122.56,122.599,119.825,10.68,-2.1
2023-07-26,122.56,122.003,122.747,121.37,9.99,0.45
2023-07-25,122.008,121.344,123.01,121.344,11.43,0.55
2023-07-24,121.342,120.22,121.772,120.099,10.49,0.94
2023-07-21,120.217,118.09,120.373,118.086,11.18,1.81
2023-07-20,118.083,117.558,118.29,117.484,8.99,0.45
2023-07-19,117.552,117.842,118.011,116.66,9.73,-0.25
2023-07-18,117.841,118.218,118.732,117.324,8.58,-0.32
2023-07-17,118.219,117.711,118.302,116.591,8.2,0.43
2023-07-14,117.711,119.268,119.329,117.526,8.98,-1.3
2023-07-13,119.264,117.671,119.739,117.668,9.26,1.36
2023-07-12,117.666,117.557,119.156,117.557,8.94,0.38
2023-07-11,117.22,117.942,117.942,115.704,10.59,-0.61
2023-07-10,117.942,118.897,118.897,117.814,8.1,-0.8
2023-07-07,118.898,117.427,119.549,117.427,10.52,1.25
2023-07-06,117.426,119.548,119.548,117.096,11.03,-1.78
2023-07-05,119.549,119.072,120.2,118.688,10.96,0.4
2023-07-04,119.076,119.673,119.678,118.83,6.56,-0.5
2023-07-03,119.673,118.092,119.877,118.092,8.91,1.34
2023-06-30,118.087,118.388,119.447,118.087,13.82,-0.25
2023-06-29,118.383,116.683,118.623,116.683,11.06,1.46
2023-06-28,116.681,117.524,117.937,116.56,10.65,-0.72
2023-06-27,117.523,118.246,119.212,116.561,13.08,-0.61
2023-06-26,118.243,118.977,119.148,117.491,10.46,-0.62
2023-06-23,118.977,118.959,119.386,118.178,12.85,0.04
2023-06-22,118.934,120.42,120.42,118.018,11.83,-1.23
2023-06-21,120.42,119.623,120.519,119.332,11.74,0.67
2023-06-20,119.622,119.858,119.858,118.416,10.92,-0.2
2023-06-19,119.858,118.757,119.939,118.558,6.78,0.93
2023-06-16,118.758,119.208,119.555,118.487,15.25,-0.39
2023-06-15,119.221,119.068,119.686,118.693,12.3,0.13
2023-06-14,119.069,116.753,119.085,116.745,16.94,1.99
2023-06-13,116.743,117.337,117.924,116.363,12.39,-0.51
2023-06-12,117.336,117.022,117.735,116.704,12.02,0.27
2023-06-09,117.019,115.489,117.603,115.489,13.53,1.33
2023-06-07,115.488,114.61,115.978,114.61,14.02,0.77
2023-06-06,114.61,112.697,114.783,112.696,15.03,1.7
2023-06-05,112.696,112.558,113.071,111.736,9.08,0.12
2023-06-02,112.558,110.568,113.07,110.567,14.55,1.8
2023-06-01,110.565,108.339,110.745,108.335,14.67,2.06
2023-05-31,108.335,108.967,109.137,108.193,15.86,-0.58
2023-05-30,108.967,110.333,111.291,108.552,11.59,-1.24
2023-05-29,110.333,110.906,111.168,110.195,5.91,-0.52
2023-05-26,110.906,110.058,111.706,109.9,11.02,0.77
2023-05-25,110.054,108.8,111.115,108.8,14.75,1.15
2023-05-24,108.8,109.92,109.92,108.546,12.98,-1.03
2023-05-23,109.929,110.213,111.325,109.713,12.33,-0.26
2023-05-22,110.213,110.745,111.643,110.178,11.77,-0.48
2023-05-19,110.745,110.113,111.211,109.787,16.14,0.58
2023-05-18,110.108,109.459,110.206,108.864,13.61,0.59
2023-05-17,109.46,108.194,109.774,108.188,13.99,1.17
2023-05-16,108.194,109.029,110.151,108.085,16.9,-0.77
2023-05-15,109.029,108.469,109.271,108.356,11.6,0.52
2023-05-12,108.464,108.256,108.817,107.497,11.92,0.19
2023-05-11,108.256,107.446,108.667,106.419,12.77,0.75
2023-05-10,107.448,107.114,107.744,106.538,13.58,0.31
2023-05-09,107.114,106.028,107.731,105.549,13.53,1.01
2023-05-08,106.042,105.161,106.716,105.161,13.26,0.85
2023-05-05,105.148,102.175,105.306,102.175,16.7,2.91
2023-05-04,102.174,101.798,103.321,101.063,14.84,0.37
2023-05-03,101.797,101.927,102.331,101.433,11.69,-0.13
2023-05-02,101.927,104.431,104.447,101.569,12.02,-2.4
2023-04-28,104.432,102.923,104.432,102.449,13.09,1.47
2023-04-27,102.923,102.31,103.177,101.975,11.3,0.6
2023-04-26,102.312,103.22,103.668,102.233,10.12,-0.88
2023-04-25,103.22,103.947,103.947,102.633,10.87,-0.7
2023-04-24,103.947,104.367,104.822,103.247,10.94,-0.4
2023-04-20,104.367,103.913,104.615,103.087,12.38,0.44
2023-04-19,103.913,106.149,106.149,103.604,12.71,-2.12
2023-04-18,106.163,106.023,106.475,105.122,11.21,0.14
2023-04-17,106.016,106.279,106.83,105.623,10.25,-0.25
2023-04-14,106.279,106.458,106.701,104.934,11.5,-0.17
2023-04-13,106.458,106.89,107.037,106.22,12.18,-0.4
2023-04-12,106.89,106.218,108.277,106.217,17.35,0.64
2023-04-11,106.214,101.849,106.455,101.848,18.73,4.29
2023-04-10,101.847,100.822,102.196,100.819,8.15,1.02
2023-04-06,100.822,100.978,101.628,100.443,9.82,-0.15
2023-04-05,100.978,101.869,101.96,99.898,13.26,-0.88
2023-04-04,101.869,101.505,103.056,101.505,11.7,0.36
2023-04-03,101.506,101.883,101.916,100.651,12.79,-0.37
2023-03-31,101.882,103.714,104.041,101.476,15.12,-1.77
2023-03-30,103.713,101.796,104.085,101.796,14.9,1.89
2023-03-29,101.793,101.185,102.213,100.248,12.46,0.6
2023-03-28,101.185,99.672,101.559,99.488,13.5,1.52
2023-03-27,99.67,98.833,99.997,98.833,9.99,0.85
2023-03-24,98.829,97.926,99.258,97.688,12.41,0.92
2023-03-23,97.926,100.221,101.126,96.997,15.66,-2.29
2023-03-22,100.221,100.998,101.888,100.129,11.5,-0.77
2023-03-21,100.998,100.923,101.67,100.923,9.67,0.07
2023-03-20,100.923,101.982,102.328,100.679,10.9,-1.04
2023-03-17,101.982,103.434,103.434,101.664,17.56,-1.4
2023-03-16,103.435,102.683,103.911,102.455,14.39,0.74
2023-03-15,102.675,102.93,103.048,100.692,15.25,-0.25
2023-03-14,102.932,103.121,104.153,102.482,13.13,-0.18
2023-03-13,103.121,103.608,103.907,102.255,12.99,-0.48
2023-03-10,103.618,105.071,105.071,103.201,17.95,-1.38
2023-03-09,105.071,106.54,106.724,105.053,19.17,-1.38
2023-03-08,106.54,104.228,106.721,104.228,15.9,2.22
2023-03-07,104.228,104.7,105.179,103.48,12.58,-0.45
2023-03-06,104.7,103.865,105.171,103.17,14.28,0.8
2023-03-03,103.866,103.326,104.44,103.323,13.1,0.52
2023-03-02,103.326,104.375,104.912,103.321,14.74,-1.01
2023-03-01,104.385,104.933,105.497,103.105,19.85,-0.52
2023-02-28,104.932,105.706,106.794,104.932,15.67,-0.74
2023-02-27,105.711,105.807,106.402,105.227,9.57,-0.08
2023-02-24,105.798,107.582,107.611,105.36,10.22,-1.67
2023-02-23,107.593,107.152,108.663,106.731,11.46,0.41
2023-02-22,107.152,109.174,109.174,106.72,9.36,-1.85
2023-02-17,109.177,109.941,109.941,108.968,10.06,-0.7
2023-02-16,109.941,109.599,110.437,108.378,13.0,0.31
2023-02-15,109.6,107.849,110.21,107.267,15.5,1.62
2023-02-14,107.849,108.839,109.564,107.557,11.89,-0.91
2023-02-13,108.836,108.074,109.193,107.42,9.97,0.7
2023-02-10,108.078,108.002,108.647,107.62,14.46,0.07
2023-02-09,108.008,109.952,110.046,107.767,12.96,-1.77
2023-02-08,109.951,107.832,110.175,107.83,13.84,1.97
2023-02-07,107.83,108.727,109.037,107.234,12.96,-0.82
2023-02-06,108.722,108.518,108.744,107.416,11.51,0.18
2023-02-03,108.523,110.141,110.57,108.185,13.24,-1.47
2023-02-02,110.141,112.072,112.943,109.747,15.24,-1.72
2023-02-01,112.074,113.43,113.598,110.729,17.82,-1.2
2023-01-31,113.431,112.273,113.691,112.145,12.9,1.03
2023-01-30,112.273,112.319,112.92,111.824,11.27,-0.04
2023-01-27,112.316,114.178,114.191,112.044,10.61,-1.63
2023-01-26,114.178,114.271,114.835,113.591,10.92,-0.08
2023-01-25,114.27,113.028,114.426,111.927,11.41,1.1
2023-01-24,113.028,111.746,113.04,111.669,11.55,1.16
2023-01-23,111.737,112.041,113.061,111.542,13.7,-0.27
2023-01-20,112.041,112.922,113.025,111.735,15.44,-0.78
2023-01-19,112.922,112.219,113.172,111.307,15.59,0.62
2023-01-18,112.228,111.442,113.306,111.441,14.13,0.71
2023-01-17,111.439,109.214,111.577,109.214,14.36,2.04
2023-01-16,109.213,110.908,110.908,108.753,12.51,-1.54
2023-01-13,110.916,111.843,111.847,110.428,15.94,-0.84
2023-01-12,111.85,112.516,113.129,110.982,19.84,-0.59
